mc,bm
人类免疫缺陷病毒病造成特指传染病和寄生虫病,B20.800
人类免疫缺陷病毒病性弓形虫病,B20.801
人类免疫缺陷病毒病造成传染病,B20.900
人类免疫缺陷病毒病造成寄生虫病,B20.901
人类免疫缺陷病毒病造成卡波西肉瘤,B21.000
人类免疫缺陷病毒病造成伯基特淋巴瘤,B21.100
人类免疫缺陷病毒病性特指非霍奇金淋巴瘤,B21.200
人类免疫缺陷病毒病造成淋巴造血和有关组织特指恶性肿瘤,B21.300
人类免疫缺陷病毒病造成多发性恶性肿瘤,B21.700
人类免疫缺陷病毒病造成特指恶性肿瘤,B21.800
人类免疫缺陷病毒病造成恶性肿瘤,B21.900
人类免疫缺陷病毒病性脑病,B22.000
人类免疫缺陷病毒病性痴呆,B22.001+
人类免疫缺陷病毒病性淋巴组织间质性肺炎,B22.100
人类免疫缺陷病毒病造成消瘦综合征,B22.200
人类免疫缺陷病毒[HIV]病造成的分类于他处的多种疾病,B22.700
人类免疫缺陷病毒病性多发性疾病,B22.701
急性人类免疫缺陷病毒感染综合征,B23.000
人类免疫缺陷病毒病性全身持续性淋巴结病,B23.100
人类免疫缺陷病毒病造成血液学异常,B23.200
人类免疫缺陷病毒病造成免疫学异常,B23.201
人类免疫缺陷病毒病造成特指情况,B23.800
人类免疫缺陷病毒[HIV]病,B24.x00
艾滋病,B24.x01
巨细胞病毒性肺炎,B25.000+
巨细胞病毒性肝炎,B25.100+
巨细胞病毒性肝炎伴肝昏迷,B25.101+
巨细胞病毒性胰腺炎,B25.200+
特指巨细胞病毒病,B25.800
巨细胞病毒性脑炎,B25.801+
巨细胞病毒性视网膜炎,B25.802+
巨细胞病毒性心肌炎,B25.803+
巨细胞病毒感染,B25.900
流行性腮腺炎性睾丸炎,B26.000+
流行性腮腺炎性脑膜炎,B26.100+
流行性腮腺炎性脑炎,B26.200+
流行性腮腺炎性脑膜脑炎,B26.201+
流行性腮腺炎性脑脊髓炎,B26.202+
流行性腮腺炎性胰腺炎,B26.300+
流行性腮腺炎伴特指并发症,B26.800
流行性腮腺炎性结膜炎,B26.801+
流行性腮腺炎性肝炎,B26.802+
流行性腮腺炎并心肌炎,B26.803+
流行性腮腺炎,B26.900
流行性腮腺炎伴颌下腺炎,B26.901
γ疱疹病毒性单核细胞增多症,B27.000
EB病毒性单核细胞增多症,B27.001
巨细胞病毒性传染性单核细胞增多症,B27.100
特指传染性单核细胞增多症,B27.800
传染性单核细胞增多症,B27.900
传染性单核细胞增多综合征,B27.901
腺病毒性角膜结膜炎,B30.000+
流行性角膜结膜炎,B30.001+
腺病毒性结膜炎,B30.100+
病毒性咽结膜炎,B30.200
咽结膜热,B30.201+
急性流行性出血性(肠病毒性)结膜炎,B30.300+
流行性出血性结膜炎,B30.301+
急性出血性结膜炎,B30.302+
特指病毒性结膜炎,B30.800+
病毒性结膜炎,B30.900+
流行性肌痛,B33.000
流行性胸肌痛,B33.001
罗斯河病,B33.100
病毒性心炎,B33.200
新生儿无菌性心肌炎,B33.201+
反转录病毒感染,B33.300
汗坦病毒心-肺综合征[HPS][HCPS],B33.400+
特指病毒性疾病,B33.800
急性传染性淋巴细胞增多症,B33.801
假狂犬病,B33.802
腺病毒感染,B34.000
肠病毒感染,B34.100
柯萨奇病毒感染,B34.101
艾柯病毒感染,B34.102
冠状病毒感染，未特指部位,B34.200
细小病毒感染,B34.300
乳头多瘤空泡病毒感染,B34.400
特指病毒性感染,B34.800
鼻病毒感染,B34.801
病毒感染,B34.900
须癣和头癣,B35.000
头癣,B35.001
须癣,B35.002
脓癣,B35.003
甲癣,B35.100
手癣,B35.200
间日疟原虫疟疾,B51.900
三日疟原虫疟疾伴肾病,B52.000
三日疟原虫疟疾伴特指并发症,B52.800
三日疟原虫疟疾,B52.900
卵形疟原虫疟疾,B53.000
猴疟原虫性疟疾,B53.100
特指经寄生虫学证实疟疾,B53.800
疟疾,B54.x00
内脏利什曼病,B55.000
皮肤利什曼病,B55.100
粘膜皮肤利什曼病,B55.200
利什曼病,B55.900
冈比亚锥虫病,B56.000
津巴布韦锥虫病,B56.100
非洲锥虫病,B56.900
急性查加斯病累及心脏,B57.000+
急性查加斯病累及心血管,B57.001+
急性查加斯病伴心肌炎,B57.002+
急性查加斯病，未累及心脏,B57.100
慢性查加斯病累及心脏,B57.200
慢性查加斯病累及消化系统,B57.300
慢性查加斯病累及神经系统,B57.400
慢性查加斯病累及特指器官,B57.500
眼弓形体病,B58.000+
弓形虫肝炎,B58.100+
弓形虫脑膜脑炎,B58.200+
脑弓形虫病,B58.201+
肺弓形体病,B58.300+
弓形虫病，累及特指器官,B58.800
弓形虫病,B58.900
肺孢子虫病,B59.x00+
巴贝虫病,B60.000
棘阿米巴病,B60.100
纳归虫病,B60.200
阿米巴性脑膜脑炎,B60.201+
特指原虫性疾病,B60.800
原虫性疾病,B64.x00
埃及血吸虫引起血吸虫病[泌尿道血吸虫病],B65.000
膀胱血吸虫病,B65.001
曼森裂体吸虫引起的血吸虫病[肠道血吸虫病],B65.100
慢性结肠血吸虫病,B65.101
日本血吸虫引起血吸虫病,B65.200
日本血吸虫病,B65.201
血吸虫病性肝硬化,B65.202+
尾蚴性皮炎,B65.300
特指血吸虫病,B65.800
血吸虫病,B65.900
脑型血吸虫病,B65.901+
肺血吸虫病,B65.902+
血吸虫性肝炎,B65.903+
后睾吸虫病,B66.000
支睾吸虫病,B66.100
华支睾吸虫感染,B66.101
支双腔吸虫病,B66.200
片吸虫病,B66.300
肝片吸虫病,B66.301+
并殖吸虫病,B66.400
肺吸虫病,B66.401+
姜片虫病,B66.500
肠吸虫病,B66.501
特指吸虫感染,B66.800
吸虫感染,B66.900
脑吸虫病,B66.901
胆道吸虫病,B66.902
肝细粒棘球蚴感染,B67.000
肺细粒棘球蚴感染,B67.100
骨细粒棘球蚴感染,B67.200
特指部位细粒棘球蚴感染,B67.300
多部位细粒棘球蚴感染,B67.301
甲状腺细粒棘球蚴病,B67.302+
细粒棘球蚴感染,B67.400
肝多房棘球蚴感染,B67.500
特指部位多房棘球蚴感染,B67.600
多部位多房棘球蚴感染,B67.601
多房棘球蚴感染,B67.700
肝棘球蚴病,B67.800+
特指棘球蚴病,B67.900
棘球蚴病,B67.901
脑棘球蚴病,B67.902
心脏棘球蚴病,B67.903
肺棘球蚴病,B67.904
胸膜棘球蚴病,B67.905
纵隔棘球蚴病,B67.906
腹腔棘球蚴病,B67.907
猪肉绦虫病,B68.000
牛肉绦虫病,B68.100
绦虫病,B68.900
马尾绦虫肉芽肿,B68.901
中枢神经系统囊虫病,B69.000
脑囊虫病,B69.001+
囊虫病癫痫,B69.002+
眼囊虫病,B69.100+
特指部位囊虫病,B69.800
肺囊尾蚴病,B69.801
肝囊虫病,B69.802
骨囊虫病,B69.803
肌肉囊尾蚴病,B69.804
皮肤囊尾蚴病,B69.805
囊虫病,B69.900
裂头绦虫病,B70.000
裂头蚴病,B70.100
膜壳绦虫病,B71.000
复孔绦虫病,B71.100
特指绦虫感染,B71.800
绦虫感染,B71.900
龙线虫病,B72.x00
盘尾丝虫病,B73.x00
班氏吴策线虫丝虫病,B74.000
马来(布鲁格)丝虫丝虫病,B74.100
帝汶(布鲁格)丝虫丝虫病,B74.200
罗阿丝虫病,B74.300
曼森丝虫病,B74.400
特指丝虫病,B74.800
丝虫病,B74.900
丝虫病性乳糜尿,B74.901
丝虫性象皮病,B74.902
旋毛虫病,B75.x00
十二指肠钩虫病,B76.000
美洲钩虫病,B76.100
特指钩虫病,B76.800
钩虫病,B76.900
胃钩虫病,B76.901
肠道钩虫病,B76.902
蛔虫病伴肠道并发症,B77.000+
蛔虫性肠穿孔,B77.001+
蛔虫病伴特指并发症,B77.800
急性蛔蚴性肺炎,B77.801+
蛔虫病伴胆道并发症,B77.802
胆道蛔虫病,B77.803
蛔虫病伴肝管并发症,B77.804
蛔虫病,B77.900
肠道类圆线虫病,B78.000
皮肤类圆线虫病,B78.100
播散性类圆线虫病,B78.700
类圆线虫病,B78.900
粪类圆线虫感染,B78.901
鞭虫病,B79.x00
蛲虫病,B80.x00
异尖线虫病,B81.000
肠道毛细线虫病,B81.100
毛圆线虫病,B81.200
肠道血管圆线虫病,B81.300
混合型肠道蠕虫病,B81.400
特指肠道蠕虫病,B81.800
肠道蠕虫病,B82.000
肠道寄生虫病,B82.900
肠寄生虫性脓肿,B82.901
内脏幼虫移行症,B83.000
颚口线虫病,B83.100
广州副圆线虫引起血管圆线虫病,B83.200
广州血管圆线虫病,B83.201
嗜酸细胞性脑膜脑炎,B83.202+
比翼(线虫)病,B83.300
内部水蛭病,B83.400
特指蠕虫病,B83.800
蠕虫病,B83.900
头虱虱病,B85.000
体虱虱病,B85.100
虱病,B85.200
阴虱病,B85.300
混合型虱病和阴虱病,B85.400
疥疮,B86.x00
皮肤蝇蛆病,B87.000
伤口蝇蛆病,B87.100
眼蝇蛆病,B87.200
鼻咽蝇蛆病,B87.300
耳蝇蛆病,B87.400
特指部位蝇蛆病,B87.800
蝇蛆病,B87.900
特指螨虫病,B88.000
螨性皮炎,B88.001+
潜蚤病[沙蚤侵染],B88.100
特指节肢动物侵染,B88.200
外部水蛭病,B88.300
特指病虫侵染,B88.800
病虫侵染,B88.900
寄生虫感染,B89.x00
颅内寄生虫感染,B89.x01
眼眶寄生虫病,B89.x02+
中枢神经系统结核后遗症,B90.000
陈旧性结核性脑膜炎,B90.001
结核性脑膜炎后遗症,B90.002
泌尿生殖系结核后遗症,B90.100
陈旧性肾结核,B90.101
肾自截,B90.102+
骨和关节结核后遗症,B90.200
陈旧性骨关节结核病,B90.201
陈旧性骨结核病,B90.202
特指器官结核后遗症,B90.800
陈旧性颈淋巴结核,B90.801
陈旧性肠系膜淋巴结核,B90.802
陈旧性腹腔结核,B90.803
结核性皮肤瘢痕,B90.804
呼吸道结核病后遗症,B90.900
陈旧性支气管结核,B90.901
陈旧性肺结核,B90.902
陈旧性胸膜结核,B90.903
陈旧性纵隔结核,B90.904
脊髓灰质炎后遗症,B91.x00
麻风的后遗症,B92.x00
沙眼后遗症,B94.000
病毒性脑炎后遗症,B94.100
流行性乙型脑炎后遗症,B94.101
病毒性肝炎后遗症,B94.200
肝炎后综合征,B94.201
特指传染病和寄生虫病后遗症,B94.800
带状疱疹后遗症,B94.801
天花后遗症,B94.802
传染病或寄生虫病后遗症,B94.900
特指传染病,B99.x00
感染性发热,B99.x01
外上唇恶性肿瘤,C00.000
外上唇口红区恶性肿瘤,C00.001
外上唇唇红缘恶性肿瘤,C00.002
外下唇恶性肿瘤,C00.100
外下唇口红区恶性肿瘤,C00.101
外下唇唇红缘恶性肿瘤,C00.102
外唇恶性肿瘤,C00.200
上唇内面恶性肿瘤,C00.300
上唇内面颊侧面恶性肿瘤,C00.301
上唇内面系带恶性肿瘤,C00.302
上唇内面粘膜恶性肿瘤,C00.303
上唇内面口腔面恶性肿瘤,C00.304
下唇内面恶性肿瘤,C00.400
下唇内面颊侧面恶性肿瘤,C00.401
下唇内面系带恶性肿瘤,C00.402
下唇内面粘膜恶性肿瘤,C00.403
下唇内面口腔面恶性肿瘤,C00.404
唇内面恶性肿瘤,C00.500
唇连合恶性肿瘤,C00.600
唇交搭跨越恶性肿瘤,C00.800
唇恶性肿瘤,C00.900
舌根恶性肿瘤,C01.x00
舌根背面恶性肿瘤,C01.x01
舌背面恶性肿瘤,C02.000
舌缘恶性肿瘤,C02.100
舌尖恶性肿瘤,C02.101
舌腹面恶性肿瘤,C02.200
舌系带恶性肿瘤,C02.201
舌前三分之二恶性肿瘤,C02.300
舌扁桃体恶性肿瘤,C02.400
舌交搭跨越恶性肿瘤,C02.800
舌恶性肿瘤,C02.900
上牙龈恶性肿瘤,C03.000
上颌软组织恶性肿瘤,C03.001
下牙龈恶性肿瘤,C03.100
下颌软组织恶性肿瘤,C03.101
牙龈恶性肿瘤,C03.900
颌软组织恶性肿瘤,C03.901
口底前部恶性肿瘤,C04.000
口底侧部恶性肿瘤,C04.100
口底交搭跨越恶性肿瘤损害,C04.800
口底恶性肿瘤,C04.900
硬腭恶性肿瘤,C05.000
软腭恶性肿瘤,C05.100
悬雍垂恶性肿瘤,C05.200
腭交搭跨越恶性肿瘤,C05.800
腭恶性肿瘤,C05.900
颊粘膜恶性肿瘤,C06.000
颊内部恶性肿瘤,C06.001
口腔粘膜恶性肿瘤,C06.002
口前庭恶性肿瘤,C06.100
颊龈沟恶性肿瘤,C06.101
唇龈沟恶性肿瘤,C06.102
磨牙后区恶性肿瘤,C06.200
口交搭跨越恶性肿瘤,C06.800
口腔恶性肿瘤,C06.900
小涎腺恶性肿瘤,C06.901
腮腺恶性肿瘤,C07.x00
下颌下腺恶性肿瘤,C08.000
颌下腺恶性肿瘤,C08.001
舌下腺恶性肿瘤,C08.100
大涎腺交搭跨越恶性肿瘤,C08.800
涎腺恶性肿瘤,C08.900
大涎腺恶性肿瘤,C08.901
扁桃体窝恶性肿瘤,C09.000
扁桃体柱恶性肿瘤,C09.100
扁桃体交搭跨越恶性肿瘤,C09.800
扁桃体恶性肿瘤,C09.900
咽门扁桃体恶性肿瘤,C09.901
腭扁桃体恶性肿瘤,C09.902
会厌谷恶性肿瘤,C10.000
会厌前面恶性肿瘤,C10.100
会厌边缘恶性肿瘤,C10.101
舌会厌褶恶性肿瘤,C10.102
口咽侧壁恶性肿瘤,C10.200
口咽后壁恶性肿瘤,C10.300
鳃裂恶性肿瘤,C10.400
口咽交搭跨越恶性肿瘤,C10.800
口咽恶性肿瘤,C10.900
鼻咽上壁恶性肿瘤,C11.000
鼻咽顶恶性肿瘤,C11.001
鼻咽后壁恶性肿瘤,C11.100
腺样体恶性肿瘤,C11.101
咽扁桃体恶性肿瘤,C11.102
鼻咽侧壁恶性肿瘤,C11.200
咽鼓管开口恶性肿瘤,C11.201
咽隐窝恶性肿瘤,C11.202
鼻咽前壁恶性肿瘤,C11.300
鼻咽底恶性肿瘤,C11.301
鼻后孔恶性肿瘤,C11.302
鼻咽交搭跨越恶性肿瘤,C11.800
鼻咽恶性肿瘤,C11.900
鼻咽壁恶性肿瘤,C11.901
梨状窝恶性肿瘤,C12.x00
环状软骨后部恶性肿瘤,C13.000
杓状会厌褶咽下面恶性肿瘤,C13.100
咽下面恶性肿瘤,C13.101
下咽后壁恶性肿瘤,C13.200
下咽交搭跨越恶性肿瘤,C13.800
下咽恶性肿瘤,C13.900
下咽壁恶性肿瘤,C13.901
咽恶性肿瘤,C14.000
咽喉恶性肿瘤,C14.001
咽侧壁恶性肿瘤,C14.002
咽后壁恶性肿瘤,C14.003
瓦尔代尔扁桃体环恶性肿瘤,C14.200
唇、口腔和咽交搭跨越恶性肿瘤,C14.800
颈部食管恶性肿瘤,C15.000
胸部食管恶性肿瘤,C15.100
腹部食管恶性肿瘤,C15.200
食管上三分之一恶性肿瘤,C15.300
食管中三分之一恶性肿瘤,C15.400
食管下三分之一恶性肿瘤,C15.500
食管交搭跨越恶性肿瘤,C15.800
食道中上段恶性肿瘤,C15.801
食道中下段恶性肿瘤,C15.802
食管恶性肿瘤,C15.900
贲门恶性肿瘤,C16.000
食管贲门连接处恶性肿瘤,C16.001
食管胃连接处恶性肿瘤,C16.002
胃底恶性肿瘤,C16.100
胃体恶性肿瘤,C16.200
幽门窦恶性肿瘤,C16.300
胃窦恶性肿瘤,C16.301
幽门恶性肿瘤,C16.400
幽门前恶性肿瘤,C16.401
幽门管恶性肿瘤,C16.402
胃小弯恶性肿瘤,C16.500
胃大弯恶性肿瘤,C16.600
胃交搭跨越恶性肿瘤,C16.800
贲门胃底恶性肿瘤,C16.801
贲门胃体恶性肿瘤,C16.802
胃窦胃体恶性肿瘤,C16.803
胃底胃体恶性肿瘤,C16.804
胃恶性肿瘤,C16.900
胃间质细胞瘤,C16.901
胃溃疡癌变,C16.902
残胃恶性肿瘤,C16.903
十二指肠恶性肿瘤,C17.000
空肠恶性肿瘤,C17.100
回肠恶性肿瘤,C17.200
麦克尔憩室恶性肿瘤,C17.300
小肠交搭跨越恶性肿瘤,C17.800
小肠恶性肿瘤,C17.900
盲肠恶性肿瘤,C18.000
回盲部恶性肿瘤,C18.001
阑尾恶性肿瘤,C18.100
升结肠恶性肿瘤,C18.200
结肠肝曲恶性肿瘤,C18.300
横结肠恶性肿瘤,C18.400
结肠脾曲恶性肿瘤,C18.500
降结肠恶性肿瘤,C18.600
乙状结肠恶性肿瘤,C18.700
结肠交搭跨越恶性肿瘤,C18.800
降结肠乙状结肠恶性肿瘤,C18.801
升结肠横结肠恶性肿瘤,C18.802
横结肠降结肠恶性肿瘤,C18.803
结肠恶性肿瘤,C18.900
结肠腺瘤恶变,C18.901
乙状结肠直肠恶性肿瘤,C19.x00
结肠和直肠恶性肿瘤,C19.x01
直肠恶性肿瘤,C20.x00
直肠壶腹部恶性肿瘤,C20.x01
肛门恶性肿瘤,C21.000
肛管恶性肿瘤,C21.100
肛门括约肌恶性肿瘤,C21.101
泄殖腔肛源区恶性肿瘤,C21.200
直肠肛门恶性肿瘤,C21.800
直肠肛管恶性肿瘤,C21.801
肝细胞癌,C22.000
肝恶性细胞瘤,C22.001
肝内胆管癌,C22.100
胆管癌,C22.101
肝母细胞瘤,C22.200
肝血管肉瘤,C22.300
肝巨噬细胞肉瘤,C22.301
肝特指肉瘤,C22.400
特指肝恶性肿瘤,C22.700
肝恶性肿瘤,C22.900
胆囊恶性肿瘤,C23.x00
肝外胆管恶性肿瘤,C24.000
肝管恶性肿瘤,C24.001
胆管恶性肿瘤,C24.002
胆总管恶性肿瘤,C24.003
胆囊管恶性肿瘤,C24.004
法特壶腹恶性肿瘤,C24.100
壶腹周围恶性肿瘤,C24.101
胆道交搭跨越恶性肿瘤,C24.800
胆道恶性肿瘤,C24.900
胰头恶性肿瘤,C25.000
胰体恶性肿瘤,C25.100
胰尾恶性肿瘤,C25.200
胰管恶性肿瘤,C25.300
胰腺内分泌恶性肿瘤,C25.400
胰岛恶性肿瘤,C25.401
胰特指部位恶性肿瘤,C25.700
胰颈恶性肿瘤,C25.701
胰交搭跨越恶性肿瘤,C25.800
胰体胰尾部恶性肿瘤,C25.801
胰颈胰体部恶性肿瘤,C25.802
胰头胰颈部恶性肿瘤,C25.803
胰腺恶性肿瘤,C25.900
肠道恶性肿瘤,C26.000
脾恶性肿瘤,C26.100
消化系统交搭跨越恶性肿瘤,C26.800
消化道恶性肿瘤,C26.900
胃肠道恶性肿瘤,C26.901
鼻腔恶性肿瘤,C30.000
鼻软骨恶性肿瘤,C30.001
鼻甲恶性肿瘤,C30.002
内鼻恶性肿瘤,C30.003
鼻中隔恶性肿瘤,C30.004
鼻前庭恶性肿瘤,C30.005
中耳恶性肿瘤,C30.100
咽鼓管恶性肿瘤,C30.101
乳突恶性肿瘤,C30.102
内耳恶性肿瘤,C30.103
上颌窦恶性肿瘤,C31.000
筛窦恶性肿瘤,C31.100
额窦恶性肿瘤,C31.200
蝶窦恶性肿瘤,C31.300
鼻旁窦交搭跨越恶性肿瘤,C31.800
筛窦蝶窦恶性肿瘤,C31.801
鼻旁窦恶性肿瘤,C31.900
声门恶性肿瘤,C32.000
声带恶性肿瘤,C32.001
声门上恶性肿瘤,C32.100
会厌恶性肿瘤,C32.101
喉外部恶性肿瘤,C32.102
假声带恶性肿瘤,C32.103
喉室带恶性肿瘤,C32.104
声门下恶性肿瘤,C32.200
喉软骨恶性肿瘤,C32.300
喉交搭跨越恶性肿瘤,C32.800
喉恶性肿瘤,C32.900
气管恶性肿瘤,C33.x00
主支气管恶性肿瘤,C34.000
肺门恶性肿瘤,C34.001
上叶，支气管或肺的恶性肿瘤,C34.100
肺上叶恶性肿瘤,C34.101
肺上沟恶性肿瘤,C34.102
中叶，支气管或肺的恶性肿瘤,C34.200
肺中叶恶性肿瘤,C34.201
下叶，支气管或肺的恶性肿瘤,C34.300
肺下叶恶性肿瘤,C34.301
支气管和肺交搭跨越恶性肿瘤,C34.800
肺中上叶恶性肿瘤,C34.801
肺中下叶恶性肿瘤,C34.802
肺上下叶恶性肿瘤,C34.803
肺恶性肿瘤,C34.900
支气管恶性肿瘤,C34.901
细支气管恶性肿瘤,C34.902
胸腺恶性肿瘤,C37.x00
心脏恶性肿瘤,C38.000
心包恶性肿瘤,C38.001
心房恶性肿瘤,C38.002
前纵隔恶性肿瘤,C38.100
后纵隔恶性肿瘤,C38.200
纵隔恶性肿瘤,C38.300
胸膜恶性肿瘤,C38.400
胸膜壁层恶性肿瘤,C38.401
心脏、纵隔和胸膜交搭跨越恶性肿瘤,C38.800
上呼吸道恶性肿瘤,C39.000
呼吸和胸腔内器官交搭跨越恶性肿瘤,C39.800
呼吸系统恶性肿瘤,C39.900
上肢长骨恶性肿瘤,C40.000
肩胛骨恶性肿瘤,C40.001
肱骨恶性肿瘤,C40.002
尺骨恶性肿瘤,C40.003
桡骨恶性肿瘤,C40.004
肘关节恶性肿瘤,C40.005
上肢短骨恶性肿瘤,C40.100
腕骨恶性肿瘤,C40.101
指骨恶性肿瘤,C40.102
掌骨恶性肿瘤,C40.103
